Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
ALMACEN;ALCOHOL FRAU 250 ML;78;100;28,57;524;12;7795422000082;93;14/09/2022
BARRICA BEBIDAS;ALCOHOL FRAU X 250 CM;10,1;15;48;0;0;7795422000068;10;
BARRICA BEBIDAS;ALCOHOL FRAU X 500CM;16,7;25;49;0;0;7795422000044;3;
ARCOR;ALFABLOCK 40 GR.;54,63;77;40,96;367,14;12;7790580123499;111;21/07/2022
ARCOR;ALFAJOR  MINI TORTA BROWNIE 74G;135,4;200;47,71;0;0;7790040133594;65153;27/01/2023
ARCOR;ALFAJOR  MINITORTA FRUTOS ROJOS 74 GR.;120;160;33,33;0;0;7790040112858;953;25/11/2022
TERRABUSI;ALFAJOR  TERRABUSI DULCE DE LECHE 70 G;152;200;31,58;0;-100;77903792;568;27/12/2022
ARCOR;ALFAJOR  TOFI  TRIPLE BLANCO X 73G;135,4;200;47,71;0;0;7790040953703;53032;27/01/2023
ARCOR;01/06/2001;149,34;187;25,22;1003,56;12;7790040133631;99;21/07/2022
ARCOR;ALFAJOR AGUILA MINI TORTA CLASICA 72G;116;150;29,31;0;0;7790040298705;65276;02/09/2022
ARCOR;ALFAJOR AGUILA MINITORTA COCO X 73 G;120;160;33,33;0;0;7790040298903;65392;25/11/2022
ARCOR;ALFAJOR BAGLEY BLANCO B & N 50 G;29,04;48;66,67;0;0;7790040996403;925;21/07/2022
ARCOR;ALFAJOR BAGLEY NEGRO B & N 50 G;29,04;48;66,67;0;0;7790040996304;905;21/07/2022
ARCOR;ALFAJOR BAGLEY NEGRO B & N 73.5G;150,4;200;32,94;0;0;7790040375000;65138;26/01/2023
ARCOR;ALFAJOR BLANCO & NEGRO BLANCO  73.5G;145,83;200;37,15;0;0;7790040991910;65060;26/01/2023
PALACIO;ALFAJOR BOMBON RECOLETA NEGRO 35GR.;7,41;10;29;0;0;7790893000234;994;
ARCOR;ALFAJOR BON O BOM NEGRO SIMPLE 40G;64,15;90;40,3;0;0;7790040613706;65327;13/09/2022
ARCOR;ALFAJOR BON O BON BLANCO SIMPLE 40G;64,15;88;37,17;0;0;7790040613607;65381;21/07/2022
ARCOR;ALFAJOR BON O BON TRIPLE X 60 G;135,4;200;47,71;0;0;7790040614000;65291;27/01/2023
ARCOR;ALFAJOR CABSHA NEGRO 47G;10,03;17;66;0;0;7790040444300;78;21/07/2022
CITRIC;ALFAJOR CACHAFAZ BLANCO;141,67;180;27,06;952;12;77934505;971;25/07/2022
CITRIC;ALFAJOR CACHAFAZ NEGRO;141,67;180;27,06;960;12,94;4390;59;25/07/2022
PALACIO;ALFAJOR CAPRICHO BLANCO;46,82;70;49,51;314,63;12;7798353430010;994;11/02/2022
PALACIO;ALFAJOR CAPRICHO MOUSSE;46,82;70;49,51;314,63;12;7798353430034;998;11/02/2022
PALACIO;ALFAJOR CAPRICHO NEGRO;46,82;70;49,51;314,63;12;7798353430027;97;11/02/2022
TERRABUSI;ALFAJOR CLASICO TERRABUSI 50G;99;140;41,41;0;-100;77939234;933;27/12/2022
ARCOR;ALFAJOR COFLER BLOCK 60G;135,4;200;47,71;0;0;7790040659605;65217;27/01/2023
ARCOR;ALFAJOR COFLER MOUSE NEGRO X 40G;10,03;17;66;0;0;7790040762503;91;21/07/2022
HUACHANA MARTIN;ALFAJOR EL GAUCHITO;113,05;150;32,68;779;14,79;3267;797;10/09/2022
HUACHANA MARTIN;ALFAJOR FRUTA EL GAUCHITO;31,66;40;26,34;212,76;12;3294;-1;02/09/2020
PALACIO;ALFAJOR GRANDOTE 2X15;11,4;18;57;0;0;1539;21;
TALCA;ALFAJOR MANON SIMPLE;40,81;60;47,02;274;12;77980168;980;03/09/2022
OSOLA;ALFAJOR MARLEY;65;100;53,85;436,8;12;7798350431010;-19;18/06/2021
OSOLA;ALFAJOR MARLEY BLANCO;65;100;53,85;436,8;12;7798350431027;958;26/06/2021
TERRABUSI;ALFAJOR MILKA DULCE DE LECHE TRIPLE X 70 g;152;200;31,58;0;0;77903778;552;27/12/2022
ARCOR;ALFAJOR MILKA MOUSE TRIPLE X 55G;20,04;33;66;0;0;7790385;94;21/07/2022
TERRABUSI;ALFAJOR MILKA MOUSSE;152;200;31,58;0;0;77903785;243;27/12/2022
TERRABUSI;ALFAJOR MILKA MOUSSE 42 GR;64;80;25;430;12;7622300759506;974;11/04/2022
TERRABUSI;ALFAJOR MILKA MOUSSE BLANCO;152;200;31,58;1021;12;7622300457303;928;27/12/2022
TERRABUSI;ALFAJOR MILKA TORTA OREO;152;200;31,58;1021;12;7622300835620;850;27/12/2022
ARCOR;ALFAJOR MINI AGUILA BLANCO;10,18;24;137,81;68,4;12;7790040125728;11;21/07/2022
ARCOR;01/06/2001;149,34;187;25,22;1003,56;12;7790040129306;996;21/07/2022
ARCOR;ALFAJOR MINI TOFI X 6 ok;58,89;84;41,8;395,76;12;7790040116641;98;21/07/2022
ARCOR;ALFAJOR MINITORTA AGUILA BLANCO;120;160;33,33;806;12;7790040133570;995;25/11/2022
ARCOR;ALFAJOR MINITORTA AGUILA CLASICA;120;160;33,33;806;12;7790040133587;993;25/11/2022
ARCOR;ALFAJOR MINITORTA CHOCOLATE BLANCO 72G;120;160;33,33;0;0;7790040316508;65414;25/11/2022
ARCOR;ALFAJOR MINITORTA DARK;135,4;200;47,71;909,89;12;7790040137578;10000;27/01/2023
TERRABUSI;ALFAJOR OREO TRIPLE X 55G;152;200;31,58;0;0;77976307;910;27/12/2022
TERRABUSI;ALFAJOR PEPITOS TRIPLE;152;200;31,58;0;0;77915481;65415;27/12/2022
PALACIO;ALFAJOR RECOLETA  NEGRO 72G;11,89;18;51;0;0;77931221;882;30/08/2017
PALACIO;ALFAJOR RECOLETA BLANCO X 72 G;11,89;18;51;0;0;77942920;65;30/08/2017
ARCOR;ALFAJOR SER DULCE DE LECHE X 47 G;30,05;42;38,89;0;0;7790040102699;985;21/07/2022
TERRABUSI;ALFAJOR SUCHARD MOUSSE;25,8;35;35,66;0;0;7622300817725;65522;28/10/2019
ARCOR;ALFAJOR TATIN BLANCO SIMPLE 33G;46,78;60;28,26;0;0;7790040331303;64103;18/10/2022
ARCOR;ALFAJOR TATIN BLANCO TRIPLE X 60 G;72,33;100;38,46;0;0;7790040405301;65051;23/12/2022
ARCOR;ALFAJOR TATIN NEGRO SIMPLE 33G;46,78;60;28,26;0;0;7790040331204;65090;18/10/2022
ARCOR;ALFAJOR TATIN NEGRO TRIPLE X 60G;72,33;100;38,46;0;0;7790040405608;64983;23/12/2022
TERRABUSI;ALFAJOR TERRABUSI GLASEADO X 38 G;99;140;41,41;0;0;1632;803;27/12/2022
TERRABUSI;ALFAJOR TITA;35,8;50;39,66;215;;77908308;874;22/06/2021
ARCOR;ALFAJOR TOFI GLASEADO 44 GR.;25,97;33;27,06;0;0;7790040116634;65442;21/07/2022
