Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
CUNNINGTON;AGUA TONICA CUNNINGTON SIN AZUCAR 1,5 L.;200;250;25;1380;15;7,79064E+12;971;01/03/2023
MARINARO;AGUA TONICA SALVADOR 1.5 L;171;210;22,81;1200;16,96;7,79518E+12;614;31/01/2023
BADIE;AGUA TONICA SANTA QUINA 1 L.;134,81;170;26,1;930;14,98;7,37186E+11;94;08/04/2021
SECCO;AGUA TONICA SECCO 2,25 L.;255;320;25,49;1800;17,65;7,79276E+12;9832;02/03/2023
SAN JUAN;AGUA TONICA SIERRA DE LOS PADRES 1,5 L.;216;270;25;1500;15,74;7,79807E+12;917;21/12/2022
MARCOS DISTRIBUCIONES;AGUA VIDA  1.5 L.;22,5;30;33,33;154,99;14,81;7,79004E+12;98;27/09/2019
PEJINAKIS;AGUA VILLA DEL SUR 1,650 L.;126;160;26,98;870;15,08;7,79032E+12;65;10/09/2022
PEJINAKIS;AGUA VILLA DEL SUR 2.25 L;139,28;180;29,24;990;18,47;7,79806E+12;176;10/12/2022
PEJINAKIS;AGUA VILLA DEL SUR 2.5 L;64,3;80;24,42;0;0;7,79806E+12;983;27/09/2019
PEJINAKIS;AGUA VILLA DEL SUR X 600CC;45,61;60;31,55;630;15,11;7,79806E+12;65417;28/08/2021
PEJINAKIS;AGUA VILLAVICENCIO 1.5 L;200,1;250;24,94;1380;14,94;7,79032E+12;9460;10/12/2022
PEJINAKIS;AGUA VILLAVICENCIO LIMON C/GAS;40,75;50;22,7;540;10,43;7,79806E+12;88;15/01/2020
SECCO;AGUA VITALISSIMA BAJA EN SODIO 3 L;35,12;45;28,13;180;28,13;7,54698E+11;97;26/02/2020
BARRICA BEBIDAS;AGUA VITALISSIMA X 6 L;271,33;350;28,99;0;0;7,79818E+12;780;08/02/2023
PEJINAKIS;AGUA WE SER X 1.5 L;29,01;38;30;0;0;7,79806E+12;67;16/08/2017
VASCO;ALARIS TEMPRANILLO;135,32;170;25,63;940;15,77;7,79024E+12;180;05/08/2020
OTROS;ALCOHOL BIALCOHOL X 500 CC;18,14;25;37;0;0;7,79014E+12;994;16/07/2020
ALMACEN;ALCOHOL FRAU 250 ML;78;100;28,57;524;12;7,79542E+12;93;14/09/2022
BARRICA BEBIDAS;ALCOHOL FRAU X 250 CM;10,1;15;48;0;0;7,79542E+12;10;
BARRICA BEBIDAS;ALCOHOL FRAU X 500CM;16,7;25;49;0;0;7,79542E+12;3;
ARCOR;ALFABLOCK 40 GR.;54,63;77;40,96;367,14;12;7,79058E+12;111;21/07/2022
ARCOR;ALFAJOR  MINI TORTA BROWNIE 74G;146,5;200;36,52;0;0;7,79004E+12;65149;25/02/2023
ARCOR;ALFAJOR  MINITORTA FRUTOS ROJOS 74 GR.;146,5;200;36,52;0;0;7,79004E+12;953;25/02/2023
TERRABUSI;ALFAJOR  TERRABUSI DULCE DE LECHE 70 G;162;220;35,8;0;-100;77903792;567;25/02/2023
ARCOR;ALFAJOR  TOFI  TRIPLE BLANCO X 73G;146,5;200;36,52;0;0;7,79004E+12;53032;25/02/2023
ARCOR;01/06/2001;149,34;187;25,22;1003,56;12;7,79004E+12;99;21/07/2022
ARCOR;ALFAJOR AGUILA MINI TORTA CLASICA 72G;116;150;29,31;0;0;7,79004E+12;65276;02/09/2022
ARCOR;ALFAJOR AGUILA MINITORTA COCO X 73 G;146,5;200;36,52;0;0;7,79004E+12;65392;25/02/2023
ARCOR;ALFAJOR BAGLEY BLANCO B & N 50 G;29,04;48;66,67;0;0;7,79004E+12;925;21/07/2022
ARCOR;ALFAJOR BAGLEY NEGRO B & N 50 G;29,04;48;66,67;0;0;7,79004E+12;905;21/07/2022
ARCOR;ALFAJOR BAGLEY NEGRO B & N 73.5G;150,4;200;32,94;0;0;7,79004E+12;65134;26/01/2023
ARCOR;ALFAJOR BLANCO & NEGRO BLANCO  73.5G;145,83;200;37,15;0;0;7,79004E+12;65059;26/01/2023
PALACIO;ALFAJOR BOMBON RECOLETA NEGRO 35GR.;7,41;10;29;0;0;7,79089E+12;994;
ARCOR;ALFAJOR BON O BOM NEGRO SIMPLE 40G;64,15;90;40,3;0;0;7,79004E+12;65327;13/09/2022
ARCOR;ALFAJOR BON O BON BLANCO SIMPLE 40G;64,15;88;37,17;0;0;7,79004E+12;65381;21/07/2022
ARCOR;ALFAJOR BON O BON TRIPLE X 60 G;146,5;200;36,52;0;0;7,79004E+12;65284;25/02/2023
ARCOR;ALFAJOR CABSHA NEGRO 47G;10,03;17;66;0;0;7,79004E+12;78;21/07/2022
CITRIC;ALFAJOR CACHAFAZ BLANCO;141,67;180;27,06;952;12;77934505;971;25/07/2022
CITRIC;ALFAJOR CACHAFAZ NEGRO;141,67;180;27,06;960;12,94;4390;59;25/07/2022
PALACIO;ALFAJOR CAPRICHO BLANCO;46,82;70;49,51;314,63;12;7,79835E+12;994;11/02/2022
PALACIO;ALFAJOR CAPRICHO MOUSSE;46,82;70;49,51;314,63;12;7,79835E+12;998;11/02/2022
PALACIO;ALFAJOR CAPRICHO NEGRO;46,82;70;49,51;314,63;12;7,79835E+12;97;11/02/2022
TERRABUSI;ALFAJOR CLASICO TERRABUSI 50G;99;140;41,41;0;-100;77939234;929;27/12/2022
ARCOR;ALFAJOR COFLER BLOCK 60G;140,82;200;42,03;0;0;7,79004E+12;65214;06/02/2023
ARCOR;ALFAJOR COFLER MOUSE NEGRO X 40G;10,03;17;66;0;0;7,79004E+12;91;21/07/2022
HUACHANA MARTIN;ALFAJOR EL GAUCHITO;113,05;150;32,68;779;14,79;3267;797;10/09/2022
HUACHANA MARTIN;ALFAJOR FRUTA EL GAUCHITO;31,66;40;26,34;212,76;12;3294;-1;02/09/2020
PALACIO;ALFAJOR GRANDOTE 2X15;11,4;18;57;0;0;1539;21;
TALCA;ALFAJOR MANON SIMPLE;40,81;60;47,02;274;12;77980168;980;03/09/2022
OSOLA;ALFAJOR MARLEY;65;100;53,85;436,8;12;7,79835E+12;-19;18/06/2021
OSOLA;ALFAJOR MARLEY BLANCO;65;100;53,85;436,8;12;7,79835E+12;958;26/06/2021
TERRABUSI;ALFAJOR MILKA DULCE DE LECHE TRIPLE X 70 g;162;220;35,8;0;0;77903778;552;25/02/2023
ARCOR;ALFAJOR MILKA MOUSE TRIPLE X 55G;20,04;33;66;0;0;7790385;94;21/07/2022
TERRABUSI;ALFAJOR MILKA MOUSSE;162;220;35,8;0;2;77903785;243;25/02/2023
TERRABUSI;ALFAJOR MILKA MOUSSE 42 GR;64;80;25;430;12;7,6223E+12;974;11/04/2022
TERRABUSI;ALFAJOR MILKA MOUSSE BLANCO;162;220;35,8;1089;12;7,6223E+12;928;25/02/2023
TERRABUSI;ALFAJOR MILKA TORTA OREO;162;220;35,8;1089;12;7,6223E+12;850;25/02/2023
ARCOR;ALFAJOR MINI AGUILA BLANCO;10,18;24;137,81;68,4;12;7,79004E+12;11;21/07/2022
ARCOR;01/06/2001;149,34;187;25,22;1003,56;12;7,79004E+12;996;21/07/2022
ARCOR;ALFAJOR MINI TOFI X 6 ok;58,89;84;41,8;395,76;12;7,79004E+12;98;21/07/2022
ARCOR;ALFAJOR MINITORTA AGUILA BLANCO;146,5;200;36,52;984;12;7,79004E+12;994;25/02/2023
ARCOR;ALFAJOR MINITORTA AGUILA CLASICA;146,5;200;36,52;984;12;7,79004E+12;986;25/02/2023
ARCOR;ALFAJOR MINITORTA CHOCOLATE BLANCO 72G;146,5;200;36,52;0;0;7,79004E+12;65414;25/02/2023
ARCOR;ALFAJOR MINITORTA DARK;146,5;200;36,52;984;12;7,79004E+12;9998;25/02/2023
TERRABUSI;ALFAJOR OREO TRIPLE X 55G;162;220;35,8;0;0;77976307;907;25/02/2023
TERRABUSI;ALFAJOR PEPITOS TRIPLE;162;220;35,8;0;0;77915481;65410;25/02/2023
PALACIO;ALFAJOR RECOLETA  NEGRO 72G;11,89;18;51;0;0;77931221;882;30/08/2017
PALACIO;ALFAJOR RECOLETA BLANCO X 72 G;11,89;18;51;0;0;77942920;65;30/08/2017
ARCOR;ALFAJOR SER DULCE DE LECHE X 47 G;30,05;42;38,89;0;0;7,79004E+12;985;21/07/2022
TERRABUSI;ALFAJOR SUCHARD MOUSSE;25,8;35;35,66;0;0;7,6223E+12;65522;28/10/2019
ARCOR;ALFAJOR TATIN BLANCO SIMPLE 33G;46,78;60;28,26;0;0;7,79004E+12;64103;18/10/2022
ARCOR;ALFAJOR TATIN BLANCO TRIPLE X 60 G;82;110;34,15;0;0;7,79004E+12;65048;25/02/2023
ARCOR;ALFAJOR TATIN NEGRO SIMPLE 33G;46,78;60;28,26;0;0;7,79004E+12;65090;18/10/2022
ARCOR;ALFAJOR TATIN NEGRO TRIPLE X 60G;82;110;34,15;0;0;7,79004E+12;64982;25/02/2023
TERRABUSI;ALFAJOR TERRABUSI GLASEADO X 38 G;99;140;41,41;0;0;1632;803;27/12/2022
TERRABUSI;ALFAJOR TITA;35,8;50;39,66;215;;77908308;874;22/06/2021
ARCOR;ALFAJOR TOFI GLASEADO 44 GR.;25,97;33;27,06;0;0;7,79004E+12;65442;21/07/2022
ARCOR;ALFAJOR TOFI NEGRO 44 GR.;48,61;66;35,78;0;0;7,79004E+12;65205;21/07/2022
COCA COLA;ALFAJOR TOFI TRIPLE 2 X30;24;35;45,83;0;0;1975;1000;25/06/2019
ARCOR;ALFAJOR TOFI TRIPLE X 73G;146,5;200;36,52;0;0;7,79004E+12;65203;25/02/2023
TERRABUSI;ALFAJOR TORTA TERRABUSI TRIPLE 70 G;162;220;35,8;0;-100;77903860;824;25/02/2023
TERRABUSI;ALFAJOR TRISHOT;162;220;35,8;1089;12;77956699;765;25/02/2023
MARCOS DISTRIBUCIONES;ALFAJOR VIMAR;13;20;53,85;87;12;77958365;322;27/09/2019
ANALGESICOS;ALIKAL;90;130;44,44;0;0;15;128;16/02/2023
ANALGESICOS;ALMAXIMO;150;200;33,33;1008;12;3351;72;06/02/2023
ARCOR;ALMENDRAS CON CHOCOLATE;191,9;242;26,11;1320,06;14,65;7,79058E+12;2;21/07/2022
OTROS;Alquiler Vehículo DOMINIO AB066HT;0;0;0;0;12;3195;10;29/02/2020
OTROS;Alquiler Vehículo DOMINIO AC331WV;0;0;0;0;12;3189;9;30/01/2020
NATY SARAVIA W.T;ALTO MOLINO MALBEC;1330;1700;27,82;9200;15,29;7,42833E+11;490;04/02/2023
ANALGESICOS;ALUMINIO PARA NARGILES ALBABIL;250;330;32;1680;12;3479;7;08/02/2022
OSOLA;AMARGO OBRERO;347;450;29,63;2292;10,08;7,79095E+12;691;02/09/2022
BARRICA BEBIDAS;AMARGO SERRANO TRES TORRES;15;23;53;0;0;7,79095E+12;79;
OSOLA;AMARULA 750 ML;4870;6500;33,47;5600;14,99;6,0015E+12;65476;15/02/2023
ANALGESICOS;AMOXICILINA 500 MG;20,5;30;46,34;0;0;16;65249;02/08/2022
PEJINAKIS;ANANA /PI¾A 1 L;28;35;25;0;0;7,794E+12;956;30/01/2018
BARRICA BEBIDAS;ANANA EN RODAJAS SAN REMO;48,33;58;20;0;0;7,79802E+12;65535;
BARRICA BEBIDAS;ANANA FIZZ DE LOS NIÑOS minions;56,35;75;33,1;390;15,35;7,79805E+12;86;18/12/2019
HUACHANA MARTIN;ANANA FIZZ DEL VALLE;485;700;44,33;3400;16,84;7,79015E+12;65308;21/12/2022
BARRICA BEBIDAS;ANANA FIZZ TUNUYAN;40;50;25;275;14,58;7,79131E+12;-3;18/10/2019
OTROS;ANANA FIZZ VICTORIA;116,28;150;29;770;10,37;7,79232E+12;988;19/12/2020
TIA MARUCA;ANILLOS DE COCO;48,51;60;23,69;325,99;12;7,79808E+12;10;08/10/2020
HUACHANA MARTIN;ANIS 8 HNOS X 1L;925;1200;29,73;1070;15,68;7,79241E+12;390;06/12/2022
CORDOBEZA;ANIS FEUDAL;94;120;27,66;620;10;7,79016E+12;67;06/05/2022
BARRICA BEBIDAS;APERITIVO APEROL X 750 CC;1650;2100;27,27;11400;15,15;7,7912E+12;939;28/02/2023
CORDOBEZA;APERITIVO CAMPARI  1 L;1766;2300;30,24;12100;14,19;7,7912E+12;404;01/03/2023
CORDOBEZA;APERITIVO CAMPARI X750CC;1100;1400;27,27;7590;15;7,89114E+12;59857;20/10/2022
BARRICA BEBIDAS;APERITIVO CARPANO BIANCO;150;500;233,33;1080;20;7,79029E+12;100;11/02/2023
HUACHANA MARTIN;APERITIVO CYNAR;900;1200;33,33;1050;16,67;7,7912E+12;852;25/01/2023
