Rubro;Nombre;Costo;Pre.;%G1.;Pre2;%G2.;Cod.;Stock;Mod.
ARCOR;ALFAJOR MINITORTA CHOCOLATE BLANCO 72G;146,5;200;36,52;0;0;7790040316508;65414;25/02/2023
ARCOR;ALFAJOR MINITORTA DARK;146,5;200;36,52;984;12;7790040137578;9997;25/02/2023
TERRABUSI;ALFAJOR OREO TRIPLE X 55G;162;220;35,8;0;0;77976307;903;25/02/2023
TERRABUSI;ALFAJOR PEPITOS TRIPLE;162;220;35,8;0;0;77915481;65407;25/02/2023
PALACIO;ALFAJOR RECOLETA  NEGRO 72G;11,89;18;51;0;0;77931221;882;30/08/2017
PALACIO;ALFAJOR RECOLETA BLANCO X 72 G;11,89;18;51;0;0;77942920;65;30/08/2017
ARCOR;ALFAJOR SER DULCE DE LECHE X 47 G;30,05;42;38,89;0;0;7790040102699;985;21/07/2022
TERRABUSI;ALFAJOR SUCHARD MOUSSE;25,8;35;35,66;0;0;7622300817725;65522;28/10/2019
ARCOR;ALFAJOR TATIN BLANCO SIMPLE 33G;46,78;60;28,26;0;0;7790040331303;64103;18/10/2022
ARCOR;ALFAJOR TATIN BLANCO TRIPLE X 60 G;82;110;34,15;0;0;7790040405301;65048;25/02/2023
ARCOR;ALFAJOR TATIN NEGRO SIMPLE 33G;46,78;60;28,26;0;0;7790040331204;65090;18/10/2022
ARCOR;ALFAJOR TATIN NEGRO TRIPLE X 60G;82;110;34,15;0;0;7790040405608;64982;25/02/2023
TERRABUSI;ALFAJOR TERRABUSI GLASEADO X 38 G;109;150;37,61;0;0;1632;803;07/03/2023
TERRABUSI;ALFAJOR TITA;35,8;50;39,66;215;;77908308;874;22/06/2021
ARCOR;ALFAJOR TOFI GLASEADO 44 GR.;25,97;33;27,06;0;0;7790040116634;65442;21/07/2022
ARCOR;ALFAJOR TOFI NEGRO 44 GR.;48,61;66;35,78;0;0;7790040116610;65205;21/07/2022
COCA COLA;ALFAJOR TOFI TRIPLE 2 X30;24;35;45,83;0;0;1975;1000;25/06/2019
ARCOR;ALFAJOR TOFI TRIPLE X 73G;146,5;200;36,52;0;0;7790040484801;65194;25/02/2023
TERRABUSI;ALFAJOR TORTA TERRABUSI TRIPLE 70 G;162;220;35,8;0;-100;77903860;822;25/02/2023
TERRABUSI;ALFAJOR TRISHOT;162;220;35,8;1089;12;77956699;764;25/02/2023
MARCOS DISTRIBUCIONES;ALFAJOR VIMAR;13;20;53,85;87;12;77958365;322;27/09/2019
ANALGESICOS;ALIKAL;90;130;44,44;0;0;15;116;16/02/2023
ANALGESICOS;ALMAXIMO;150;200;33,33;1008;12;3351;72;06/02/2023
ARCOR;ALMENDRAS CON CHOCOLATE;191,9;242;26,11;1320,06;14,65;7790580415709;2;21/07/2022
OTROS;Alquiler Vehículo DOMINIO AB066HT;0;0;0;0;12;3195;10;29/02/2020
OTROS;Alquiler Vehículo DOMINIO AC331WV;0;0;0;0;12;3189;9;30/01/2020
NATY SARAVIA W.T;ALTO MOLINO MALBEC;1330;1700;27,82;9200;15,29;742832556880;490;04/02/2023
ANALGESICOS;ALUMINIO PARA NARGILES ALBABIL;250;330;32;1680;12;3479;7;08/02/2022
