NombrePromocion;CodigoPromocion;NombreIngrediente;CodigoIngrediente;Costo;Ganancia.;Precio;Cantidad
2 NOVECENTO + 2 SPEED XL;3434;ENERGIZANTE SPEED 473 ML;7798119220183;137;24,08759124;170;2
SIDRA DEL VALLE OFERTA X 3 BOTELLAS;3437;SIDRA DEL VALLE 710cc;7790154000652;153;19,83006536;183,34;3
OFERTA NOVIEMBRE 2021 SPEED XL;3439;ENERGIZANTE SPEED 473 ML;7798119220183;137;11,3671275;153;12
SIDRA DEL VALLE ETIQUETA NEGRA X 3 OFERTA;3441;SIDRA DEL VALLE ETIQUETA NEGRA;7790154000669;150;28,88666667;193,33;3
NOVECENTO + 2 SPEED CHICOS;3442;ESPUMANTE NOVECENTO EXTRA BRUT;7790717152026;407,1;22,85714286;500;1
NOVECENTO + 2 SPEED CHICOS;3442;SPEED LATA CHICA;7798119220015;80,2;18,45386534;95;2
promo imperial lager x 24 latas;3453;IMPERIAL LATA LAGER X 473CC;7793147000752;106,25;38,8974359;148;6
SPEED CHICO X VOLUMEN SOLO OFERTA (CONSULTAR);3461;SPEED LATA CHICA;7798119220015;80,2;6,981209711;86;1
"Branca Menta 750 oferta ""NO VENDER""";3462;Fernet Branca Menta  750cc;7790290101473;350;80,86956522;633;6
05/01/2001;3520;VODKA SERNOVA WILD BERRIES 750cc;7790290101527;599;25,23719165;750;1
05/01/2001;3520;JUGO CEPITA NARANJA  X 1.5 L;7790895641800;176;13,63636364;200;1
05/01/2001;3521;VODKA SERNOVA CLASICO;7790290101510;469,5;21,4057508;570;1
05/01/2001;3521;JUGO CEPITA  ANANA X 1.5 L;7790895641749;176;13,63636364;200;1
BANDEJA CERVEZA SCHNEIDER OFERTA CARLITOS;3522;CERVEZA SCHNEIDER LATA 473 CC;7793147118860;89,58;11,9875;100;24
05/01/2001;3524;VERMOUTH CARPANO ROSSO X950CC;7790290008192;170;105,8823529;350;1
05/01/2001;3524;PASO DE LOS TOROS  1.5 LT;7791813421382;168;19,05;200;1
05/01/2001;3525;VERMOUTH PUNT E'MES X750CC;7790290007195;177;125,9887006;400;1
05/01/2001;3525;PASO DE LOS TOROS TONICA X 1.5 L;7791813421368;168;19,05;200;1
05/01/2001;3526;Fernet Branca Menta  750cc;7790290101473;350;100;700;1
05/01/2001;3526;GASEOSA SCHWEPPES AGUA TONICA 1.5 L.;7790895006715;184,37;8,477518034;200;1
